Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
01/26/2021,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,33,12,52,21
01/26/2022,85,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,38,19,85,25
01/26/2023,49,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,39,.,49,22
01/26/2024,45,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,20,.,45,8
01/27/2018,59,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,34,13,59,10
01/27/2019,70,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,30,22,70,21
01/27/2020,46,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,31,7,46,9
01/27/2021,33,Ozone,Paradise - Airport,06-007-0007,AQS,2,33,3,19,4
01/27/2022,63,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,38,22,63,19
01/27/2023,62,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,34,.,62,19
01/27/2024,34,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,19,.,34,7
01/28/2018,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,34,17,57,17
01/28/2019,71,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,30,31,71,21
01/28/2020,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,8,52,13
01/28/2021,33,Ozone,Paradise - Airport,06-007-0007,AQS,2,33,4,21,5
01/28/2022,75,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,32,24,75,19
01/28/2023,56,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,31,.,56,17
01/28/2024,37,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,19,.,37,11
01/29/2018,69,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,30,25,69,15
01/29/2019,89,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,35,30,89,22
01/29/2020,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,31,10,52,13
01/29/2021,31,Ozone,Paradise - Airport,06-007-0007,AQS,2,31,5,26,8
01/29/2022,70,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,34,22,70,21
01/29/2023,29,Ozone,Chico-East Avenue,06-007-0008,AQS,5,29,.,23,15
01/29/2024,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,28,.,52,14
01/30/2018,70,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,41,30,70,19
01/30/2019,89,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,30,35,89,18
01/30/2020,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,27,13,57,14
01/30/2021,34,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,32,9,34,14
01/30/2022,66,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,38,18,66,17
01/30/2023,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,36,.,53,25
01/30/2024,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,33,.,57,9
01/31/2018,68,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,41,28,68,18
01/31/2019,86,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,36,31,86,21
01/31/2020,73,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,33,19,73,19
01/31/2021,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,31,12,52,10
01/31/2022,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,41,14,54,10
01/31/2023,31,Ozone,Chico-East Avenue,06-007-0008,AQS,9,31,.,29,21
01/31/2024,40,Ozone,Paradise-Clark,06-007-2003,AQS,2,40,.,38,6
02/13/2018,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,37,21,54,22
02/13/2019,43,Ozone,Paradise - Airport,06-007-0007,AQS,3,43,5,35,9
02/13/2020,75,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,46,23,75,20
02/13/2021,35,Ozone,Paradise - Airport,06-007-0007,AQS,3,35,4,16,2
02/13/2022,50,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,42,9,50,14
02/13/2023,44,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,43,15,44,19
02/13/2024,61,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,26,16,61,16
02/14/2018,60,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,42,24,60,18
02/14/2019,39,Ozone,Paradise - Airport,06-007-0007,AQS,3,39,5,33,8
02/14/2020,75,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,45,32,75,19
02/14/2021,31,Ozone,Paradise - Airport,06-007-0007,AQS,2,31,4,8,6
02/14/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,3,44,15,39,17
02/14/2023,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,12,14,6
02/14/2024,45,PM2.5,Paradise-Clark,06-007-2003,AQS,5,37,6,45,8
02/15/2018,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,42,24,58,18
02/15/2019,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,6,33,4
02/15/2020,89,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,43,24,89,14
02/15/2021,28,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,26,6,28,8
02/15/2022,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,13,31,6
02/15/2023,39,Ozone,Paradise - Airport,06-007-0007,AQS,5,39,12,28,24
02/15/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,5,28,7
02/16/2018,66,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,45,28,66,22
02/16/2019,37,Ozone,Paradise - Airport,06-007-0007,AQS,3,37,8,34,19
02/16/2020,62,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,40,17,62,12
02/16/2021,37,Ozone,Paradise - Airport,06-007-0007,AQS,3,37,8,31,10
02/16/2022,41,Ozone,Paradise - Airport,06-007-0007,AQS,2,41,10,20,13
02/16/2023,73,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,41,24,73,26
02/16/2024,43,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,28,6,43,11
02/17/2018,70,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,47,26,70,18
02/17/2019,40,Ozone,Paradise - Airport,06-007-0007,AQS,3,40,3,34,5
02/17/2020,43,Ozone,Paradise - Airport,06-007-0007,AQS,3,43,22,34,4
02/17/2021,46,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,37,12,46,21
02/17/2022,39,Ozone,Paradise - Airport,06-007-0007,AQS,3,39,11,28,20
02/17/2023,60,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,40,20,60,22
02/17/2024,36,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,36,6,36,16
02/18/2018,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,42,14,55,8
02/18/2019,38,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,38,8,38,20
02/18/2020,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,40,20,53,20
02/18/2021,54,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,37,14,54,21
02/18/2022,51,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,39,12,51,12
02/18/2023,65,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,42,19,65,20
02/18/2024,42,Ozone,Paradise-Clark,06-007-2003,AQS,2,42,2,15,7
02/19/2018,48,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,40,15,48,16
02/19/2019,43,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,38,13,43,22
02/19/2020,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,40,29,63,24
02/19/2021,36,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,30,8,36,5
02/19/2022,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,44,13,54,11
02/19/2023,59,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,40,14,59,16
02/19/2024,42,Ozone,Paradise-Clark,06-007-2003,AQS,2,42,1,17,2
02/20/2018,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,37,17,57,25
02/20/2019,50,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,37,11,50,15
02/20/2020,64,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,36,35,64,18
02/20/2021,34,Ozone,Paradise - Airport,06-007-0007,AQS,3,34,6,33,11
02/20/2022,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,39,12,53,14
02/20/2023,62,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,44,24,62,19
02/20/2024,35,Ozone,Chico-East Avenue,06-007-0008,AQS,2,35,4,22,8
02/21/2018,59,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,43,20,59,17
02/21/2019,39,Ozone,Paradise - Airport,06-007-0007,AQS,3,39,12,37,.
02/21/2020,60,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,40,31,60,24
02/21/2021,36,Ozone,Paradise - Airport,06-007-0007,AQS,3,36,5,18,7
02/21/2022,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,6,6,6
02/21/2023,48,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,41,17,48,21
02/21/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,2,24,7
02/22/2018,59,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,39,18,59,15
02/22/2019,44,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,38,13,44,25
02/22/2020,59,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,43,20,59,17
02/22/2021,36,Ozone,Paradise - Airport,06-007-0007,AQS,3,36,10,32,12
02/22/2022,37,Ozone,Paradise - Airport,06-007-0007,AQS,2,37,7,22,13
02/22/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,3,40,6,20,21
02/22/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,3,36,5,35,13
02/23/2018,54,PM2.5,Paradise - Theater,06-007-2002,AQS,5,40,14,54,22
02/23/2019,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,37,18,57,21
02/23/2020,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,36,19,57,11
02/23/2021,42,Ozone,Paradise - Airport,06-007-0007,AQS,3,42,13,41,10
02/23/2022,36,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,35,12,36,19
02/23/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,6,21,4
02/23/2024,31,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,31,7,31,11
02/24/2018,59,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,40,22,59,24
02/24/2019,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,40,12,55,12
02/24/2020,51,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,40,28,51,7
02/24/2021,42,Ozone,Paradise - Airport,06-007-0007,AQS,3,42,22,29,15
02/24/2022,49,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,41,10,49,23
02/24/2023,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,2,23,5
02/24/2024,36,Ozone,Paradise-Clark,06-007-2003,AQS,5,36,6,33,10
02/25/2018,50,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,43,16,50,17
02/25/2019,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,38,8,52,7
02/25/2020,39,Ozone,Paradise - Airport,06-007-0007,AQS,3,39,21,23,19
02/25/2021,42,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,41,12,42,17
02/25/2022,62,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,41,19,62,22
02/25/2023,34,Ozone,Paradise - Airport,06-007-0007,AQS,2,34,6,30,5
02/25/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,3,38,5,37,8
02/26/2018,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,9,34,10
02/26/2019,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,6,32,2
02/26/2020,43,Ozone,Paradise - Airport,06-007-0007,AQS,3,43,23,40,15
02/26/2021,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,38,13,55,14
02/26/2022,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,42,12,58,20
02/26/2023,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,0,21,3
02/26/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,4,25,4
02/27/2018,44,Ozone,Paradise - Airport,06-007-0007,AQS,3,44,11,23,23
02/27/2019,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,6,33,5
02/27/2020,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,37,23,52,23
02/27/2021,40,Ozone,Paradise - Airport,06-007-0007,AQS,3,40,10,32,11
02/27/2022,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,44,9,54,11
02/27/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,3,21,4
02/27/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,3,36,10,24,17
02/28/2018,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,42,15,53,27
02/28/2019,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,7,33,15
02/28/2020,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,48,29,55,17
02/28/2021,43,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,39,11,43,16
02/28/2022,50,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,39,13,50,18
02/28/2023,42,Ozone,Paradise - Airport,06-007-0007,AQS,3,42,4,22,13
02/28/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,5,38,9,33,14
02/29/2020,46,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,42,15,46,6
02/29/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,5,23,3
03/13/2018,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,1,26,5
03/13/2019,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,12,37,21
03/13/2020,51,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,40,30,51,20
03/13/2021,48,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,40,.,48,12
03/13/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,6,21,6
03/13/2023,32,Ozone,Chico-East Avenue,06-007-0008,AQS,2,32,3,12,2
03/13/2024,42,Ozone,Paradise-Clark,06-007-2003,AQS,2,42,0,15,7
03/14/2018,43,Ozone,Paradise - Airport,06-007-0007,AQS,3,43,5,36,10
03/14/2019,43,Ozone,Paradise - Airport,06-007-0007,AQS,5,43,15,36,23
03/14/2020,36,Ozone,Paradise - Airport,06-007-0007,AQS,2,36,6,21,3
03/14/2021,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,.,28,3
03/14/2022,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,51,17,55,15
03/14/2023,36,Ozone,Chico-East Avenue,06-007-0008,AQS,1,36,0,12,3
03/14/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,2,39,3,7,8
03/15/2018,40,Ozone,Paradise - Airport,06-007-0007,AQS,3,40,5,28,10
03/15/2019,46,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,46,18,46,26
03/15/2020,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,3,14,2
03/15/2021,34,Ozone,Paradise - Airport,06-007-0007,AQS,2,34,.,22,8
03/15/2022,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,6,17,5
03/15/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,1,40,3,18,5
03/15/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,3,38,10,10,23
03/16/2018,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,4,26,5
03/16/2019,56,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,46,11,56,27
03/16/2020,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,5,24,7
03/16/2021,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,.,28,11
03/16/2022,41,Ozone,Chico-East Avenue,06-007-0008,AQS,2,41,5,17,12
03/16/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,3,43,11,34,17
03/16/2024,41,Ozone,Chico-East Avenue,06-007-0008,AQS,2,41,6,26,12
03/17/2018,46,PM2.5,Paradise - Theater,06-007-2002,AQS,2,42,5,46,7
03/17/2019,56,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,48,12,56,29
03/17/2020,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,.,11,5
03/17/2021,43,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,33,.,43,9
03/17/2022,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,10,33,10
03/17/2023,44,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,43,13,44,14
03/17/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,5,34,9
03/18/2018,42,PM2.5,Paradise - Theater,06-007-2002,AQS,3,38,6,42,12
03/18/2019,60,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,46,.,60,33
03/18/2020,36,Ozone,Paradise - Airport,06-007-0007,AQS,2,36,3,16,8
03/18/2021,44,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,36,.,44,7
03/18/2022,43,Ozone,Paradise - Airport,06-007-0007,AQS,3,43,11,31,11
03/18/2023,50,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,40,12,50,10
03/18/2024,44,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,42,11,44,18
03/19/2018,44,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,41,6,44,15
03/19/2019,64,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,42,.,64,30
03/19/2020,36,Ozone,Paradise - Airport,06-007-0007,AQS,5,36,.,27,9
03/19/2021,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,.,26,.
03/19/2022,43,Ozone,Paradise - Airport,06-007-0007,AQS,2,43,7,21,7
03/19/2023,44,Ozone,Chico-East Avenue,06-007-0008,AQS,5,44,6,25,8
03/19/2024,49,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,43,11,49,.
03/20/2018,50,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,44,8,50,13
03/20/2019,46,Ozone,Paradise - Airport,06-007-0007,AQS,3,46,.,40,25
03/20/2020,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,.,27,8
03/20/2021,37,Ozone,Paradise - Airport,06-007-0007,AQS,2,37,6,27,.
03/20/2022,42,Ozone,Chico-East Avenue,06-007-0008,AQS,2,42,2,24,4
03/20/2023,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,5,19,6
03/20/2024,43,Ozone,Paradise-Clark,06-007-2003,AQS,2,43,10,34,.
03/21/2018,43,Ozone,Paradise - Airport,06-007-0007,AQS,2,43,1,35,6
03/21/2019,48,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,44,.,48,26
03/21/2020,43,Ozone,Paradise - Airport,06-007-0007,AQS,2,43,.,42,8
03/21/2021,36,Ozone,Paradise - Airport,06-007-0007,AQS,2,36,7,23,.
03/21/2022,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,6,9,3
03/21/2023,41,Ozone,Paradise - Airport,06-007-0007,AQS,2,41,5,21,6
03/21/2024,42,Ozone,Chico-East Avenue,06-007-0008,AQS,2,42,6,26,8
03/22/2018,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,1,21,3
03/22/2019,42,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,33,.,42,19
03/22/2020,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,.,38,9
03/22/2021,37,Ozone,Paradise - Airport,06-007-0007,AQS,3,37,9,34,.
03/22/2022,26,Ozone,Chico-East Avenue,06-007-0008,AQS,2,26,6,8,7
03/22/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,3,43,4,19,10
03/22/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,2,38,6,19,5
03/23/2018,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,6,32,4
03/23/2019,46,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,45,.,46,19
03/23/2020,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,.,29,13
03/23/2021,41,Ozone,Paradise - Airport,06-007-0007,AQS,1,41,6,14,.
03/23/2022,50,Ozone,Paradise - Airport,06-007-0007,AQS,3,50,14,28,8
03/23/2023,41,Ozone,Chico-East Avenue,06-007-0008,AQS,3,41,4,18,6
03/23/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,1,19,1
03/24/2018,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,5,28,3
03/24/2019,51,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,40,.,51,24
03/24/2020,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,.,16,3
03/24/2021,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,9,19,.
03/24/2022,48,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,40,16,48,10
03/24/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,3,43,4,10,21
03/24/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,1,15,5
03/25/2018,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,5,35,7
03/25/2019,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,41,.,55,17
03/25/2020,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,.,22,8
03/25/2021,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,8,24,17
03/25/2022,61,Ozone,Paradise - Airport,06-007-0007,AQS,2,61,15,37,8
03/25/2023,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,4,21,1
03/25/2024,36,Ozone,Paradise-Clark,06-007-2003,AQS,3,36,3,21,11
03/26/2018,44,Ozone,Paradise - Airport,06-007-0007,AQS,3,44,7,36,15
03/26/2019,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,4,28,22
03/26/2020,35,Ozone,Paradise - Airport,06-007-0007,AQS,3,35,5,32,11
03/26/2021,37,Ozone,Paradise - Airport,06-007-0007,AQS,2,37,9,19,7
03/26/2022,48,Ozone,Chico-East Avenue,06-007-0008,AQS,2,48,12,27,9
03/26/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,1,15,8
03/26/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,6,33,7
03/27/2018,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,7,28,19
03/27/2019,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,4,22,19
03/27/2020,44,Ozone,Paradise - Airport,06-007-0007,AQS,3,44,8,33,14
03/27/2021,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,45,15,52,12
03/27/2022,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,6,13,4
03/27/2023,45,Ozone,Chico-East Avenue,06-007-0008,AQS,3,45,6,23,21
03/27/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,2,38,3,16,3
03/28/2018,44,Ozone,Paradise - Airport,06-007-0007,AQS,3,44,11,34,16
03/28/2019,43,Ozone,Paradise - Airport,06-007-0007,AQS,2,43,7,39,18
03/28/2020,48,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,39,14,48,5
03/28/2021,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,45,15,52,9
03/28/2022,35,Ozone,Chico-East Avenue,06-007-0008,AQS,2,35,2,14,8
03/28/2023,50,Ozone,Chico-East Avenue,06-007-0008,AQS,2,50,5,23,6
03/28/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,3,22,2
03/29/2018,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,15,33,12
03/29/2019,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,7,39,21
03/29/2020,41,Ozone,Paradise - Airport,06-007-0007,AQS,2,41,6,31,3
03/29/2021,48,Ozone,Paradise - Airport,06-007-0007,AQS,2,48,25,22,11
03/29/2022,37,Ozone,Paradise - Airport,06-007-0007,AQS,3,37,7,16,8
03/29/2023,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,3,18,9
03/29/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,2,17,4
03/30/2018,50,Ozone,Paradise - Airport,06-007-0007,AQS,3,50,13,48,16
03/30/2019,40,Ozone,Chico-East Avenue,06-007-0008,AQS,3,40,6,32,22
03/30/2020,34,Ozone,Paradise - Airport,06-007-0007,AQS,2,34,6,22,3
03/30/2021,44,Ozone,Paradise - Airport,06-007-0007,AQS,1,44,19,21,8
03/30/2022,36,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,30,10,36,10
03/30/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,3,43,2,14,13
03/30/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,0,8,3
03/31/2018,61,Ozone,Paradise - Airport,06-007-0007,AQS,3,61,15,55,10
03/31/2019,47,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,41,6,47,26
03/31/2020,34,Ozone,Paradise - Airport,06-007-0007,AQS,2,34,5,14,3
03/31/2021,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,51,19,58,12
03/31/2022,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,10,25,8
03/31/2023,45,Ozone,Chico-East Avenue,06-007-0008,AQS,2,45,7,24,4
03/31/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,2,39,2,9,5
